source,target,relation_detail,weight,source_name,source_bio,target_name,target_bio
0,1,family,4,Regulus Arcturus Black,Brother of Sirius. Used to be a Death Eater but defected.,Sirius Black,Best friend of James Potter and godfather of Harry.
0,25,family,4,Regulus Arcturus Black,Brother of Sirius. Used to be a Death Eater but defected.,Bellatrix Lestrange,Death Eater who was killed by Molly Weasley.
0,45,family,4,Regulus Arcturus Black,Brother of Sirius. Used to be a Death Eater but defected.,Lord Voldemort,The antagonist of the series who murdered many.
1,0,family,4,Sirius Black,Best friend of James Potter and godfather of Harry.,Regulus Arcturus Black,Brother of Sirius. Used to be a Death Eater but defected.
1,11,family,4,Sirius Black,Best friend of James Potter and godfather of Harry.,Albus Dumbledore,Headmaster of Hogwards killed by Snape.
1,21,family,4,Sirius Black,Best friend of James Potter and godfather of Harry.,Hermione Granger,One of Harry's best friend and marries Ron Weasley.
1,25,family,4,Sirius Black,Best friend of James Potter and godfather of Harry.,Bellatrix Lestrange,Death Eater who was killed by Molly Weasley.
1,31,family,4,Sirius Black,Best friend of James Potter and godfather of Harry.,Remus Lupin,Friend of James Potter and werewolf. He married Nymphadora.
1,33,family,4,Sirius Black,Best friend of James Potter and godfather of Harry.,Lucius Malfoy,Father of Draco and influential Death-Eater.
1,34,family,4,Sirius Black,Best friend of James Potter and godfather of Harry.,Narcissa Malfoy,Mother of Draco and sister of Bellatrix.
1,36,family,4,Sirius Black,Best friend of James Potter and godfather of Harry.,Minerva McGonagall,Professor of Transfiguration and head of Gryffindor.
1,37,family,4,Sirius Black,Best friend of James Potter and godfather of Harry.,"Alastor ""Mad-Eye"" Moody",Retired auror and member of the order of the Phoenix. Killed by Voldemort.
1,38,family,4,Sirius Black,Best friend of James Potter and godfather of Harry.,Peter Pettigrew,Betrays James and Lily Potter. Follower of Voldemort.
1,39,family,4,Sirius Black,Best friend of James Potter and godfather of Harry.,Harry Potter,The boy who lived. Main character of the series.
1,40,family,4,Sirius Black,Best friend of James Potter and godfather of Harry.,James Potter,Father of Harry. Murdered by Voldemort.
1,41,family,4,Sirius Black,Best friend of James Potter and godfather of Harry.,Lily Potter,Mother of Harry. Murdered by Voldemort.
1,45,family,4,Sirius Black,Best friend of James Potter and godfather of Harry.,Lord Voldemort,The antagonist of the series who murdered many.
1,47,family,4,Sirius Black,Best friend of James Potter and godfather of Harry.,Severus Snape,Head of the Slytherin house and saved Harry in many occasions.
1,48,family,4,Sirius Black,Best friend of James Potter and godfather of Harry.,Nymphadora Tonks,Married Remus Lupin and was killed by Bellatrix.
1,50,family,4,Sirius Black,Best friend of James Potter and godfather of Harry.,Arthur Weasley,Father of the Weasleys and member of the Order of the Phoenix.
1,53,family,4,Sirius Black,Best friend of James Potter and godfather of Harry.,Fred Weasley,Identical twin with George and co-owner of Weasleys' Wizard Wheezes
1,54,family,4,Sirius Black,Best friend of James Potter and godfather of Harry.,George Weasley,Identical twin with Fred and co-owner of Weasleys' Wizard Wheezes
1,55,family,4,Sirius Black,Best friend of James Potter and godfather of Harry.,Ginny Weasley,Marries Harry Potter and only daughter of Molly and Arthur.
1,58,family,4,Sirius Black,Best friend of James Potter and godfather of Harry.,Ron Weasley,Harry's best friend. Marries Hermione.
2,21,enmity,3,Lavender Brown,Killed by a werewolf. She was a gryffindor student who dated Ron. ,Hermione Granger,One of Harry's best friend and marries Ron Weasley.
2,28,friendship,2,Lavender Brown,Killed by a werewolf. She was a gryffindor student who dated Ron. ,Neville Longbottom,Gryffindor student who was a member of Dumbledore's army.
2,58,friendship,2,Lavender Brown,Killed by a werewolf. She was a gryffindor student who dated Ron. ,Ron Weasley,Harry's best friend. Marries Hermione.
3,9,friendship,2,Cho Chang,Ravenclaw student who dated Cedric Diggory and Harry Potter.,Cedric Diggory,Participated in the Triwizard tournament and got killed by Voldemort.
3,16,friendship,2,Cho Chang,Ravenclaw student who dated Cedric Diggory and Harry Potter.,Seamus Finnigan,Harry's friend and member of Dumbledore's army.
3,21,friendship,2,Cho Chang,Ravenclaw student who dated Cedric Diggory and Harry Potter.,Hermione Granger,One of Harry's best friend and marries Ron Weasley.
3,28,friendship,2,Cho Chang,Ravenclaw student who dated Cedric Diggory and Harry Potter.,Neville Longbottom,Gryffindor student who was a member of Dumbledore's army.
3,39,friendship,2,Cho Chang,Ravenclaw student who dated Cedric Diggory and Harry Potter.,Harry Potter,The boy who lived. Main character of the series.
3,45,enmity,3,Cho Chang,Ravenclaw student who dated Cedric Diggory and Harry Potter.,Lord Voldemort,The antagonist of the series who murdered many.
3,58,friendship,2,Cho Chang,Ravenclaw student who dated Cedric Diggory and Harry Potter.,Ron Weasley,Harry's best friend. Marries Hermione.
4,0,family,4,Vincent Crabbe Sr.,Father of Crabbe and death-eater who escaped Azkaban.,Regulus Arcturus Black,Brother of Sirius. Used to be a Death Eater but defected.
4,5,family,4,Vincent Crabbe Sr.,Father of Crabbe and death-eater who escaped Azkaban.,Vincent Crabbe,Slytherin student who was best friends with Goyle and followed Draco.
4,6,family,4,Vincent Crabbe Sr.,Father of Crabbe and death-eater who escaped Azkaban.,"Bartemius ""Barty"" Crouch Sr.",Head of the department of Internation Magical Cooperation. Killed by his son.
4,25,family,4,Vincent Crabbe Sr.,Father of Crabbe and death-eater who escaped Azkaban.,Bellatrix Lestrange,Death Eater who was killed by Molly Weasley.
4,33,family,4,Vincent Crabbe Sr.,Father of Crabbe and death-eater who escaped Azkaban.,Lucius Malfoy,Father of Draco and influential Death-Eater.
4,38,family,4,Vincent Crabbe Sr.,Father of Crabbe and death-eater who escaped Azkaban.,Peter Pettigrew,Betrays James and Lily Potter. Follower of Voldemort.
4,45,family,4,Vincent Crabbe Sr.,Father of Crabbe and death-eater who escaped Azkaban.,Lord Voldemort,The antagonist of the series who murdered many.
4,47,family,4,Vincent Crabbe Sr.,Father of Crabbe and death-eater who escaped Azkaban.,Severus Snape,Head of the Slytherin house and saved Harry in many occasions.
5,4,family,4,Vincent Crabbe,Slytherin student who was best friends with Goyle and followed Draco.,Vincent Crabbe Sr.,Father of Crabbe and death-eater who escaped Azkaban.
5,49,friendship,2,Vincent Crabbe,Slytherin student who was best friends with Goyle and followed Draco.,Dolores Janes Umbridge,Senior undersecretary to the Ministry of Magic. Eventually sent to Azkaban.
5,20,friendship,2,Vincent Crabbe,Slytherin student who was best friends with Goyle and followed Draco.,Gregory Goyle,Best friend of Crabbe. Slytherin student and dies by falling into Fiendfyre.
5,21,enmity,3,Vincent Crabbe,Slytherin student who was best friends with Goyle and followed Draco.,Hermione Granger,One of Harry's best friend and marries Ron Weasley.
5,32,friendship,2,Vincent Crabbe,Slytherin student who was best friends with Goyle and followed Draco.,Draco Malfoy,Slytherin student who had many arguments with Harry.
5,39,enmity,3,Vincent Crabbe,Slytherin student who was best friends with Goyle and followed Draco.,Harry Potter,The boy who lived. Main character of the series.
5,58,enmity,3,Vincent Crabbe,Slytherin student who was best friends with Goyle and followed Draco.,Ron Weasley,Harry's best friend. Marries Hermione.
6,4,family,4,"Bartemius ""Barty"" Crouch Sr.",Head of the department of Internation Magical Cooperation. Killed by his son.,Vincent Crabbe Sr.,Father of Crabbe and death-eater who escaped Azkaban.
6,7,family,4,"Bartemius ""Barty"" Crouch Sr.",Head of the department of Internation Magical Cooperation. Killed by his son.,"Bartemius ""Barty"" Crouch Jr.",Death Eater who impersonated Alastor Moody.
6,23,family,4,"Bartemius ""Barty"" Crouch Sr.",Head of the department of Internation Magical Cooperation. Killed by his son.,Igor Karkaroff,Highmaster of Durmstrang and reformed death-eater.
6,57,family,4,"Bartemius ""Barty"" Crouch Sr.",Head of the department of Internation Magical Cooperation. Killed by his son.,Percy Weasley,Third son of Arthur and Molly. He is a Gryffindor prefect.
7,6,family,4,"Bartemius ""Barty"" Crouch Jr.",Death Eater who impersonated Alastor Moody.,"Bartemius ""Barty"" Crouch Sr.",Head of the department of Internation Magical Cooperation. Killed by his son.
7,21,family,4,"Bartemius ""Barty"" Crouch Jr.",Death Eater who impersonated Alastor Moody.,Hermione Granger,One of Harry's best friend and marries Ron Weasley.
7,28,family,4,"Bartemius ""Barty"" Crouch Jr.",Death Eater who impersonated Alastor Moody.,Neville Longbottom,Gryffindor student who was a member of Dumbledore's army.
7,36,family,4,"Bartemius ""Barty"" Crouch Jr.",Death Eater who impersonated Alastor Moody.,Minerva McGonagall,Professor of Transfiguration and head of Gryffindor.
7,37,family,4,"Bartemius ""Barty"" Crouch Jr.",Death Eater who impersonated Alastor Moody.,"Alastor ""Mad-Eye"" Moody",Retired auror and member of the order of the Phoenix. Killed by Voldemort.
7,39,family,4,"Bartemius ""Barty"" Crouch Jr.",Death Eater who impersonated Alastor Moody.,Harry Potter,The boy who lived. Main character of the series.
7,45,family,4,"Bartemius ""Barty"" Crouch Jr.",Death Eater who impersonated Alastor Moody.,Lord Voldemort,The antagonist of the series who murdered many.
7,47,family,4,"Bartemius ""Barty"" Crouch Jr.",Death Eater who impersonated Alastor Moody.,Severus Snape,Head of the Slytherin house and saved Harry in many occasions.
7,38,family,4,"Bartemius ""Barty"" Crouch Jr.",Death Eater who impersonated Alastor Moody.,Peter Pettigrew,Betrays James and Lily Potter. Follower of Voldemort.
